date,close
1997-07-02,8996.7197265625
1997-07-03,9027.6298828125
1997-07-04,9192.5703125
1997-07-07,9322.83984375
1997-07-08,9305.26953125
1997-07-09,9362.6796875
1997-07-10,9429.740234375
1997-07-11,9394.6298828125
1997-07-14,9593.5400390625
1997-07-15,9555.98046875
1997-07-16,9544.5595703125
1997-07-17,9571.7998046875
1997-07-18,9677.400390625
1997-07-21,9833.76953125
1997-07-22,9550.400390625
1997-07-23,9381.0595703125
1997-07-24,9632.419921875
1997-07-25,9808.91015625
1997-07-28,9923.0498046875
1997-07-29,9892.33984375
1997-07-30,9942.7900390625
1997-07-31,10066.349609375
1997-08-01,10001.5595703125
1997-08-04,10065.759765625
1997-08-05,9919.6796875
1997-08-06,9861.4697265625
1997-08-07,9840.8798828125
1997-08-08,9923.83984375
1997-08-11,9897.26953125
1997-08-12,9807.740234375
1997-08-13,9556.1201171875
1997-08-14,9632.33984375
1997-08-15,9770.7998046875
1997-08-19,9712.4501953125
1997-08-20,9855.16015625
1997-08-21,10025.1298828125
1997-08-22,10020.5498046875
1997-08-25,10011.4697265625
1997-08-26,10116.83984375
1997-08-27,10050.669921875
1997-08-28,9827.490234375
1997-09-01,9504.990234375
1997-09-02,9211.669921875
1997-09-03,9460.759765625
1997-09-04,9147.849609375
1997-09-05,9290.3896484375
1997-09-08,9149.2900390625
1997-09-09,9079.3603515625
1997-09-10,9145.1796875
1997-09-11,9115.099609375
1997-09-12,9155.240234375
1997-09-15,8932.01953125
1997-09-17,9087.5498046875
1997-09-18,9141.330078125
1997-09-19,9243.7099609375
1997-09-22,9220.990234375
1997-09-23,9073.76953125
1997-09-24,8994.01953125
1997-09-25,8791.8095703125
1997-09-26,8719.0
1997-09-30,8708.830078125
1997-10-01,8695.01953125
1997-10-02,8504.66015625
1997-10-03,8537.1796875
1997-10-06,8392.58984375
1997-10-07,8221.349609375
1997-10-08,8255.8203125
1997-10-09,8461.8701171875
1997-10-13,8463.16015625
1997-10-14,8429.349609375
1997-10-15,8262.400390625
1997-10-16,7997.81005859375
1997-10-17,7832.14990234375
1997-10-20,7316.77978515625
1997-10-21,7734.0498046875
1997-10-22,7692.47021484375
1997-10-23,7825.009765625
1997-10-24,7719.0400390625
1997-10-27,7662.52978515625
1997-10-28,7210.009765625
1997-10-29,7089.56005859375
1997-10-30,7313.39990234375
1997-11-03,7646.35009765625
1997-11-04,7785.31982421875
1997-11-05,7864.22021484375
1997-11-06,8076.77001953125
1997-11-07,7860.08984375
1997-11-10,7767.14013671875
1997-11-11,7712.16015625
1997-11-13,7554.93994140625
1997-11-14,7482.919921875
1997-11-17,7690.5400390625
1997-11-18,7644.97021484375
1997-11-19,7705.39990234375
1997-11-20,7693.2900390625
1997-11-21,7773.35009765625
1997-11-24,7756.25
1997-11-25,7759.97021484375
1997-11-26,7698.240234375
1997-11-27,7762.14990234375
1997-11-28,7797.18994140625
1997-12-01,7400.64013671875
1997-12-02,7679.52978515625
1997-12-03,7902.509765625
1997-12-04,8050.1298828125
1997-12-05,8166.8701171875
1997-12-08,8402.169921875
1997-12-09,8333.490234375
1997-12-10,8503.5498046875
1997-12-11,8270.580078125
1997-12-12,8398.26953125
1997-12-15,8241.490234375
1997-12-16,8193.650390625
1997-12-17,8347.2001953125
1997-12-18,8255.0498046875
1997-12-19,8092.580078125
1997-12-22,8104.02978515625
1997-12-23,8038.31005859375
1997-12-24,8075.0498046875
1997-12-26,8132.5
1997-12-29,8076.64990234375
1997-12-30,8145.77001953125
1997-12-31,8187.27001953125
