date,close
1999-12-31,1000.0
2000-01-03,996.77001953125
2000-01-04,955.969970703125
2000-01-05,930.260009765625
2000-01-06,922.4600219726562
2000-01-07,943.8800048828124
2000-01-10,960.219970703125
2000-01-11,954.0599975585938
2000-01-12,946.8300170898438
2000-01-13,951.8200073242188
2000-01-14,973.8599853515624
2000-01-17,979.9600219726562
2000-01-18,952.5900268554688
2000-01-19,951.260009765625
2000-01-20,955.4099731445312
2000-01-21,951.510009765625
2000-01-24,956.6099853515624
2000-01-25,943.8800048828124
2000-01-26,946.2000122070312
2000-01-27,948.1500244140624
2000-01-28,948.2100219726562
2000-01-31,929.8599853515624
2000-02-01,944.77001953125
2000-02-02,968.6099853515624
2000-02-03,994.1400146484376
2000-02-04,1010.4299926757812
2000-02-07,1002.4000244140624
2000-02-08,1022.25
2000-02-09,1016.010009765625
2000-02-10,1005.6400146484376
2000-02-11,1014.1699829101562
2000-02-14,1006.27001953125
2000-02-15,993.8699951171876
2000-02-16,996.4099731445312
2000-02-17,1009.3499755859376
2000-02-18,992.530029296875
2000-02-21,978.6900024414062
2000-02-22,976.719970703125
2000-02-23,983.3800048828124
2000-02-24,988.7100219726562
2000-02-25,1004.719970703125
2000-02-28,992.4299926757812
2000-02-29,1007.3200073242188
2000-03-01,1015.6599731445312
2000-03-02,1033.5999755859375
2000-03-03,1042.4000244140625
2000-03-06,1047.77001953125
2000-03-07,1037.989990234375
2000-03-08,1032.6800537109375
2000-03-09,1035.260009765625
2000-03-10,1045.27001953125
2000-03-13,1017.3900146484376
2000-03-14,1020.8099975585938
2000-03-15,998.219970703125
2000-03-16,1015.47998046875
2000-03-17,1022.1199951171876
2000-03-20,1028.3900146484375
2000-03-21,1027.6300048828125
2000-03-22,1027.010009765625
2000-03-23,1017.7899780273438
2000-03-24,1029.6600341796875
2000-03-27,1035.760009765625
2000-03-28,1048.3699951171875
2000-03-29,1045.72998046875
2000-03-30,1023.2100219726562
2000-03-31,1021.219970703125
2000-04-03,998.989990234375
2000-04-04,1015.6799926757812
2000-04-05,990.0399780273438
2000-04-06,1017.219970703125
2000-04-07,1029.969970703125
2000-04-10,1032.010009765625
2000-04-11,1017.3800048828124
