date,close
2017-09-26,3916.97998046875
2017-09-27,3885.090087890625
2017-09-28,3879.22998046875
2017-09-29,3930.8701171875
2017-10-02,3907.280029296875
2017-10-03,3939.860107421875
2017-10-04,4000.0
2017-10-05,4004.199951171875
2017-10-06,3990.389892578125
2017-10-09,3984.06005859375
2017-10-10,4051.489990234375
2017-10-11,4072.60009765625
2017-10-12,4096.56005859375
2017-10-13,4160.27978515625
2017-10-16,4183.14013671875
2017-10-17,4118.66015625
2017-10-18,4102.14013671875
2017-10-19,4093.25
2017-10-20,4048.35009765625
2017-10-23,4046.030029296875
2017-10-24,4026.06005859375
2017-10-25,3990.60009765625
2017-10-26,3965.1201171875
2017-10-27,3973.39990234375
2017-10-30,4021.52001953125
2017-10-31,3996.090087890625
2017-11-01,4049.889892578125
2017-11-02,4050.679931640625
2017-11-03,4022.550048828125
2017-11-06,4047.989990234375
2017-11-07,4064.580078125
2017-11-08,4083.570068359375
2017-11-09,4041.3798828125
2017-11-10,4004.080078125
2017-11-13,3965.889892578125
2017-11-14,3969.219970703125
2017-11-15,3955.2900390625
2017-11-16,4044.669921875
2017-11-17,4122.08984375
2017-11-20,4154.27001953125
2017-11-21,4229.8798828125
2017-11-22,4219.75
2017-11-23,4173.43994140625
2017-11-24,4187.5498046875
2017-11-27,4204.1201171875
2017-11-28,4228.4501953125
2017-11-29,4245.22998046875
2017-11-30,4197.31005859375
2017-12-01,4129.22021484375
2017-12-04,4200.5498046875
2017-12-05,4184.18994140625
2017-12-06,4097.72998046875
2017-12-07,4063.300048828125
2017-12-08,4065.3798828125
2017-12-11,4095.1201171875
2017-12-12,4028.300048828125
2017-12-13,4079.719970703125
2017-12-14,4121.93017578125
2017-12-15,4144.259765625
2017-12-18,4348.91015625
2017-12-19,4315.43994140625
2017-12-20,4368.240234375
2017-12-21,4404.830078125
2017-12-22,4444.990234375
2017-12-27,4537.0498046875
2017-12-28,4527.669921875
2017-12-29,4561.3701171875
2018-01-02,4557.64013671875
2018-01-03,4590.10986328125
2018-01-04,4599.56005859375
2018-01-05,4602.66015625
2018-01-08,4603.1201171875
2018-01-09,4620.240234375
2018-01-10,4592.85009765625
2018-01-11,4566.8701171875
2018-01-12,4608.080078125
2018-01-15,4656.31005859375
2018-01-16,4707.4599609375
2018-01-17,4741.39013671875
2018-01-18,4781.3798828125
2018-01-19,4751.41015625
2018-01-22,4807.509765625
2018-01-23,4855.64013671875
2018-01-24,4924.72021484375
2018-01-25,4957.9599609375
2018-01-26,4927.8701171875
2018-01-29,4833.06982421875
2018-01-30,4737.77978515625
2018-01-31,4763.240234375
2018-02-01,4756.68017578125
2018-02-02,4631.25
2018-02-05,4515.3701171875
2018-02-06,4444.68994140625
2018-02-07,4509.7998046875
2018-02-08,4439.77001953125
2018-02-09,4396.2998046875
2018-02-12,4464.60009765625
2018-02-13,4525.56005859375
2018-02-14,4617.43994140625
2018-02-15,4849.91015625
2018-02-16,4821.16015625
2018-02-19,4755.60009765625
2018-02-20,4668.0498046875
2018-02-21,4776.9501953125
2018-02-22,4726.5498046875
2018-02-23,4804.5498046875
2018-02-26,4788.81005859375
2018-02-27,4764.2900390625
2018-02-28,4679.35986328125
2018-03-01,4596.77001953125
2018-03-02,4546.14013671875
2018-03-05,4619.52001953125
2018-03-06,4763.5400390625
2018-03-07,4709.0400390625
2018-03-08,4695.4599609375
2018-03-09,4763.22021484375
2018-03-12,4765.0400390625
2018-03-13,4779.4599609375
2018-03-14,4726.02978515625
2018-03-15,4669.6201171875
2018-03-16,4613.2099609375
2018-03-19,4583.08984375
2018-03-20,4639.77978515625
2018-03-22,4568.5498046875
2018-03-23,4549.8701171875
2018-03-26,4571.47998046875
2018-03-27,4561.93994140625
2018-03-28,4391.8701171875
2018-03-29,4426.72021484375
2018-04-03,4386.22998046875
2018-04-04,4341.47998046875
2018-04-05,4404.68017578125
2018-04-06,4381.3798828125
2018-04-09,4391.4501953125
2018-04-10,4462.60986328125
2018-04-11,4426.16015625
2018-04-12,4462.72021484375
2018-04-13,4438.81982421875
2018-04-16,4460.490234375
2018-04-17,4499.580078125
2018-04-18,4599.5400390625
2018-04-19,4567.06005859375
2018-04-20,4513.18994140625
2018-04-23,4455.4501953125
2018-04-24,4419.5
2018-04-25,4324.27001953125
2018-04-26,4382.25
2018-04-30,4427.5498046875
2018-05-02,4360.1201171875
2018-05-03,4257.3701171875
2018-05-04,4343.3798828125
2018-05-07,4370.35009765625
2018-05-08,4341.25
2018-05-09,4380.85986328125
2018-05-10,4468.35986328125
2018-05-11,4546.52001953125
2018-05-14,4552.1201171875
2018-05-15,4383.72021484375
2018-05-16,4493.6201171875
2018-05-17,4424.10009765625
2018-05-18,4327.77978515625
2018-05-21,4310.31982421875
2018-05-22,4402.85986328125
2018-05-23,4326.68017578125
2018-05-24,4339.009765625
2018-05-25,4344.830078125
2018-05-28,4365.0
2018-05-29,4232.35986328125
2018-05-30,4215.7001953125
2018-05-31,4225.39013671875
2018-06-01,4324.830078125
2018-06-04,4396.1298828125
2018-06-05,4327.85986328125
2018-06-06,4376.4599609375
2018-06-07,4331.18994140625
2018-06-08,4251.56005859375
2018-06-11,4247.75
2018-06-12,4222.43017578125
2018-06-13,4238.85009765625
2018-06-14,4207.68017578125
2018-06-15,4088.47998046875
2018-06-18,4007.4599609375
2018-06-19,3901.949951171875
2018-06-20,3963.639892578125
2018-06-21,3944.219970703125
2018-06-22,4036.85009765625
2018-06-25,3931.39990234375
2018-06-26,3902.89990234375
2018-06-27,3867.7099609375
2018-06-28,3857.06005859375
2018-06-29,4040.239990234375
2018-07-02,3949.919921875
2018-07-03,4019.699951171875
2018-07-04,4026.179931640625
2018-07-05,4048.93994140625
2018-07-06,4066.5
2018-07-09,4181.35986328125
2018-07-10,4166.83984375
2018-07-11,4086.550048828125
2018-07-12,4088.159912109375
2018-07-13,4068.489990234375
2018-07-16,4006.699951171875
2018-07-17,4063.679931640625
2018-07-18,4065.070068359375
2018-07-19,4001.22998046875
2018-07-20,4070.9599609375
2018-07-23,4019.199951171875
2018-07-24,4120.72021484375
2018-07-25,4091.52001953125
2018-07-26,4120.64013671875
2018-07-27,4174.56982421875
2018-07-30,4186.77978515625
2018-07-31,4211.1201171875
2018-08-01,4180.27001953125
2018-08-02,4037.1298828125
2018-08-03,4121.77978515625
2018-08-06,4070.64990234375
2018-08-07,4163.18017578125
2018-08-08,4142.52001953125
2018-08-10,3950.4599609375
2018-08-13,3891.360107421875
2018-08-14,3900.39990234375
2018-08-15,3639.550048828125
2018-08-16,3715.080078125
2018-08-17,3679.760009765625
2018-08-20,3749.8701171875
2018-08-21,3829.429931640625
2018-08-22,3917.260009765625
2018-08-23,3922.199951171875
2018-08-24,3977.47998046875
2018-08-27,4074.8798828125
2018-08-28,4099.169921875
2018-08-29,4029.10009765625
2018-08-30,3854.9599609375
2018-08-31,3849.199951171875
2018-09-03,3792.419921875
2018-09-04,3648.3701171875
2018-09-05,3539.280029296875
2018-09-06,3556.72998046875
2018-09-07,3609.1201171875
2018-09-10,3575.090087890625
2018-09-11,3548.590087890625
2018-09-12,3563.4599609375
2018-09-13,3643.52001953125
2018-09-14,3644.800048828125
2018-09-17,3620.77001953125
2018-09-18,3640.280029296875
2018-09-19,3687.429931640625
2018-09-20,3754.580078125
2018-09-21,3827.3701171875
2018-09-25,3787.239990234375
2018-09-26,3812.050048828125
2018-09-27,3807.949951171875
2018-09-28,3761.6201171875
2018-10-01,3753.10009765625
2018-10-02,3696.699951171875
2018-10-03,3668.68994140625
2018-10-04,3569.760009765625
2018-10-05,3517.510009765625
2018-10-08,3472.610107421875
2018-10-09,3491.22998046875
2018-10-10,3421.719970703125
2018-10-11,3382.669921875
2018-10-12,3514.7900390625
2018-10-15,3463.969970703125
2018-10-16,3557.330078125
2018-10-17,3497.06005859375
2018-10-18,3446.10009765625
2018-10-19,3423.050048828125
2018-10-22,3464.97998046875
2018-10-23,3353.179931640625
2018-10-24,3315.530029296875
2018-10-25,3349.7099609375
2018-10-26,3277.949951171875
2018-10-29,3336.10009765625
2018-10-30,3273.010009765625
2018-10-31,3358.93994140625
2018-11-01,3502.10009765625
2018-11-02,3583.89990234375
2018-11-05,3678.469970703125
2018-11-06,3646.510009765625
2018-11-07,3715.85009765625
2018-11-08,3646.679931640625
2018-11-09,3529.760009765625
2018-11-12,3424.610107421875
2018-11-13,3403.06005859375
2018-11-14,3432.409912109375
2018-11-15,3457.0400390625
2018-11-16,3504.550048828125
